player_name,team,year,PA,AB,H,2B,3B,HR,BA,SB,CS
Mike Tauchman,New York Yankees,19,296,260,72,18,1,13,0.277,6,0
Brett Gardner,New York Yankees,19,550,491,123,26,7,28,0.251,10,2
Aaron Judge,New York Yankees,19,447,378,103,18,1,27,0.272,3,2
Edwin Encarnacion,New York Yankees,19,197,177,44,11,0,13,0.249,0,0
Gleyber Torres,New York Yankees,19,604,546,152,26,0,38,0.278,5,2
Cameron Maybin,New York Yankees,19,269,239,68,17,0,11,0.285,9,6
Aaron Hicks,New York Yankees,19,255,221,52,10,0,12,0.235,1,2
Clint Frazier,New York Yankees,19,246,225,60,14,0,12,0.267,1,2
Austin Romine,New York Yankees,19,240,228,64,12,0,8,0.281,1,1
Mike Ford,New York Yankees,19,163,143,37,7,0,12,0.259,0,0
Tyler Wade,New York Yankees,19,108,94,23,3,1,2,0.245,7,0
Kendrys Morales,New York Yankees,19,75,62,11,1,0,1,0.177,0,0
Giancarlo Stanton,New York Yankees,19,72,59,17,3,0,3,0.288,0,0
Thairo Estrada,New York Yankees,19,69,64,16,3,0,3,0.25,4,0
Kyle Higashioka,New York Yankees,19,57,56,12,5,0,3,0.214,0,0
Miguel Andujar,New York Yankees,19,49,47,6,0,0,0,0.128,0,0
Greg Bird,New York Yankees,19,41,35,6,0,0,1,0.171,0,0
Breyvic Valera,New York Yankees,19,37,32,7,1,1,0,0.219,0,0
Troy Tulowitzki,New York Yankees,19,13,11,2,1,0,1,0.182,0,0
