player_name,team,year,PA,AB,H,2B,3B,HR,BA,SB,CS
Grayson Greiner,Detroit Tigers,19,224,208,42,5,1,5,0.202,0,0
Brandon Dixon,Detroit Tigers,19,420,391,97,20,4,15,0.248,5,1
Gordon Beckham,Detroit Tigers,19,240,223,48,13,2,6,0.215,3,1
Jordy Mercer,Detroit Tigers,19,271,256,69,16,0,9,0.27,0,0
Dawel Lugo,Detroit Tigers,19,288,273,67,11,4,6,0.245,0,0
Christin Stewart,Detroit Tigers,19,416,369,86,25,1,10,0.233,0,1
JaCoby Jones,Detroit Tigers,19,333,298,70,19,3,11,0.235,7,2
Nicholas Castellanos,Detroit Tigers,19,439,403,110,37,3,11,0.273,2,1
Miguel Cabrera,Detroit Tigers,19,549,493,139,21,0,12,0.282,0,0
Niko Goodrum,Detroit Tigers,19,472,423,105,27,5,12,0.248,12,3
Jeimer Candelario,Detroit Tigers,19,386,335,68,17,2,8,0.203,3,1
Harold Castro,Detroit Tigers,19,369,354,103,10,4,5,0.291,4,2
John Hicks,Detroit Tigers,19,333,319,67,15,0,13,0.21,1,1
Ronny Rodriguez,Detroit Tigers,19,294,276,61,12,3,14,0.221,3,1
Victor Reyes,Detroit Tigers,19,292,276,84,16,5,3,0.304,9,3
Travis Demeritte,Detroit Tigers,19,186,169,38,7,2,3,0.225,3,0
Josh Harrison,Detroit Tigers,19,147,137,24,7,1,1,0.175,4,2
Jake Rogers,Detroit Tigers,19,128,112,14,3,0,4,0.125,0,0
Willi Castro,Detroit Tigers,19,110,100,23,6,1,1,0.23,0,1
Dustin Peterson,Detroit Tigers,19,47,44,10,4,0,0,0.227,1,0
Bobby Wilson,Detroit Tigers,19,47,44,4,1,0,0,0.091,0,0
Mikie Mahtook,Detroit Tigers,19,25,23,0,0,0,0,0,0,0
Robinson Chirinos,Houston Astros,19,437,366,87,22,1,17,0.238,1,2
Yuli Gurriel,Houston Astros,19,612,564,168,40,2,31,0.298,5,3
Jose Altuve,Houston Astros,19,548,500,149,27,3,31,0.298,6,5
Carlos Correa,Houston Astros,19,321,280,78,16,1,21,0.279,1,0
Alex Bregman,Houston Astros,19,690,554,164,37,2,41,0.296,5,1
Michael Brantley,Houston Astros,19,637,575,179,40,2,22,0.311,3,2
Jake Marisnick,Houston Astros,19,318,292,68,16,3,10,0.233,10,3
Josh Reddick,Houston Astros,19,550,501,138,19,3,14,0.275,5,2
Yordan Álvarez,Houston Astros,19,369,313,98,26,0,27,0.313,0,0
George Springer,Houston Astros,19,556,479,140,20,3,39,0.292,6,2
Tyler White,Houston Astros,19,253,218,49,14,0,3,0.225,0,0
Aledmys Díaz,Houston Astros,19,247,210,57,12,1,9,0.271,2,0
Tony Kemp,Houston Astros,19,186,163,37,6,2,7,0.227,4,3
Myles Straw,Houston Astros,19,128,108,29,4,2,0,0.269,8,1
Max Stassi,Houston Astros,19,98,90,15,1,0,1,0.167,0,0
Martin Maldonado,Houston Astros,19,98,84,17,4,0,6,0.202,0,0
Abraham Toro,Houston Astros,19,89,78,17,3,2,2,0.218,1,1
Kyle Tucker,Houston Astros,19,72,67,18,6,0,4,0.269,5,0
Jack Mayfield,Houston Astros,19,65,64,10,5,0,2,0.156,0,0
Derek Fisher,Houston Astros,19,60,53,12,2,1,1,0.226,4,1
Garrett Stubbs,Houston Astros,19,39,35,7,3,0,0,0.2,1,0
Martin Maldonado,Kansas City Royals,19,263,238,54,15,0,6,0.227,0,0
Ryan O'Hearn,Kansas City Royals,19,370,328,64,13,1,14,0.195,0,1
Whit Merrifield,Kansas City Royals,19,735,681,206,41,10,16,0.302,20,10
Adalberto Mondesi,Kansas City Royals,19,443,415,109,20,10,9,0.263,43,7
Hunter Dozier,Kansas City Royals,19,586,523,146,29,10,26,0.279,2,2
Alex Gordon,Kansas City Royals,19,633,556,148,31,1,13,0.266,5,3
Billy Hamilton,Kansas City Royals,19,305,275,58,12,2,0,0.211,18,5
Bubba Starling,Kansas City Royals,19,197,186,40,7,0,4,0.215,2,0
Jorge Soler,Kansas City Royals,19,679,589,156,33,1,48,0.265,3,1
Nicky Lopez,Kansas City Royals,19,402,379,91,22,2,2,0.24,1,1
Cheslor Cuthbert,Kansas City Royals,19,330,309,76,14,0,9,0.246,1,0
Meibrys Viloria,Kansas City Royals,19,148,133,28,7,0,1,0.211,0,1
Chris Owings,Kansas City Royals,19,145,135,18,4,1,2,0.133,4,1
Cam Gallagher,Kansas City Royals,19,142,126,30,7,0,3,0.238,0,1
Humberto Arteaga,Kansas City Royals,19,135,122,24,4,0,0,0.197,1,1
Lucas Duda,Kansas City Royals,19,119,105,18,4,0,4,0.171,0,0
Ryan McBroom,Kansas City Royals,19,83,75,22,5,0,0,0.293,0,0
Kelvin Gutierrez,Kansas City Royals,19,79,73,19,2,1,1,0.26,1,0
Brett Phillips,Kansas City Royals,19,79,65,9,2,0,2,0.138,3,0
Nick Dini,Kansas City Royals,19,64,56,11,3,0,2,0.196,0,0
Terrance Gore,Kansas City Royals,19,58,51,14,2,1,0,0.275,13,5
