player_name,team,year,PA,AB,H,2B,3B,HR,BA,SB,CS
郭峻偉,統一,19,133,114,29,9,0,0,0.254,0,1
郭阜林,統一,19,210,190,35,13,0,5,0.184,1,1
林安可,統一,19,119,106,27,7,0,2,0.255,0,1
林靖凱,統一,19,235,217,65,7,2,0,0.3,7,3
林勝傑,統一,19,33,30,8,1,0,1,0.267,0,0
林祐樂,統一,19,254,236,61,4,0,4,0.258,0,0
林祖傑,統一,19,240,219,48,10,1,4,0.219,3,1
羅國龍,統一,19,138,126,31,4,1,3,0.246,3,2
買嘉儀,統一,19,31,28,4,2,0,0,0.143,1,1
潘傑楷,統一,19,88,77,15,3,0,1,0.195,2,0
潘武雄,統一,19,324,287,92,16,1,8,0.321,1,5
施冠宇,統一,19,8,8,0,0,0,0,0,0,0
蘇智傑,統一,19,501,444,125,30,2,27,0.282,21,7
唐肇廷,統一,19,156,141,34,4,0,1,0.241,2,1
吳桀睿,統一,19,88,83,27,2,1,1,0.325,3,1
徐政斌,統一,19,1,1,0,0,0,0,0,0,0
薛种帷,統一,19,7,7,0,0,0,0,0,0,0
楊家維,統一,19,276,249,63,11,0,5,0.253,6,3
姚雨翔,統一,19,24,21,5,1,0,1,0.238,0,0
張偉聖,統一,19,39,37,7,2,0,0,0.189,0,0
鄭鎧文,統一,19,68,63,12,2,1,3,0.19,2,0
朱元勤,統一,19,56,41,7,0,0,2,0.167,0,0
莊駿凱,統一,19,84,76,19,3,0,1,0.25,3,1
